team,season,captain_name,source_page,alternate_data_available
Edmonton Oilers,2016-17,Connor McDavid,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
Edmonton Oilers,2017-18,Connor McDavid,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
Edmonton Oilers,2018-19,Connor McDavid,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
Edmonton Oilers,2019-20,Connor McDavid,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
Edmonton Oilers,2020-21,Connor McDavid,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
Edmonton Oilers,2021-22,Connor McDavid,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
Edmonton Oilers,2022-23,Connor McDavid,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
Edmonton Oilers,2023-24,Connor McDavid,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
Edmonton Oilers,2024-25,Connor McDavid,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
Florida Panthers,2012-13,Willie Mitchell,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Florida Panthers,2013-14,Willie Mitchell,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Florida Panthers,2014-15,Willie Mitchell,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Florida Panthers,2015-16,Willie Mitchell,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Florida Panthers,2016-17,Derek MacKenzie,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Florida Panthers,2017-18,Derek MacKenzie,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Florida Panthers,2018-19,Aleksander Barkov,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Florida Panthers,2019-20,Aleksander Barkov,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Florida Panthers,2020-21,Aleksander Barkov,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Florida Panthers,2021-22,Aleksander Barkov,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Florida Panthers,2022-23,Aleksander Barkov,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Florida Panthers,2023-24,Aleksander Barkov,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Florida Panthers,2024-25,Aleksander Barkov,https://en.wikipedia.org/wiki/List_of_Florida_Panthers_captains,FALSE
Los Angeles Kings,2012-13,Dustin Brown,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Los Angeles Kings,2013-14,Dustin Brown,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Los Angeles Kings,2014-15,Dustin Brown,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Los Angeles Kings,2015-16,Dustin Brown,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Los Angeles Kings,2016-17,Anze Kopitar,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Los Angeles Kings,2017-18,Anze Kopitar,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Los Angeles Kings,2018-19,Anze Kopitar,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Los Angeles Kings,2019-20,Anze Kopitar,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Los Angeles Kings,2020-21,Anze Kopitar,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Los Angeles Kings,2021-22,Anze Kopitar,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Los Angeles Kings,2022-23,Anze Kopitar,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Los Angeles Kings,2023-24,Anze Kopitar,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Los Angeles Kings,2024-25,Anze Kopitar,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Kings_captains,FALSE
Minnesota Wild,2012-13,Mikko Koivu,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Minnesota Wild,2013-14,Mikko Koivu,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Minnesota Wild,2014-15,Mikko Koivu,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Minnesota Wild,2015-16,Mikko Koivu,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Minnesota Wild,2016-17,Mikko Koivu,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Minnesota Wild,2017-18,Mikko Koivu,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Minnesota Wild,2018-19,Mikko Koivu,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Minnesota Wild,2019-20,Mikko Koivu,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Minnesota Wild,2020-21,Jared Spurgeon,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Minnesota Wild,2021-22,Jared Spurgeon,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Minnesota Wild,2022-23,Jared Spurgeon,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Minnesota Wild,2023-24,Jared Spurgeon,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Minnesota Wild,2024-25,Jared Spurgeon,https://en.wikipedia.org/wiki/List_of_Minnesota_Wild_captains,FALSE
Montreal Canadiens,2012-13,Max Pacioretty,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Montreal Canadiens,2013-14,Max Pacioretty,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Montreal Canadiens,2014-15,Max Pacioretty,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Montreal Canadiens,2015-16,Max Pacioretty,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Montreal Canadiens,2016-17,Max Pacioretty,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Montreal Canadiens,2017-18,Max Pacioretty,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Montreal Canadiens,2018-19,Shea Weber,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Montreal Canadiens,2019-20,Shea Weber,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Montreal Canadiens,2020-21,Shea Weber,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Montreal Canadiens,2021-22,Shea Weber,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Montreal Canadiens,2022-23,Nick Suzuki,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Montreal Canadiens,2023-24,Nick Suzuki,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Montreal Canadiens,2024-25,Nick Suzuki,https://en.wikipedia.org/wiki/List_of_Montreal_Canadiens_captains,FALSE
Nashville Predators,2012-13,Shea Weber,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
Nashville Predators,2013-14,Shea Weber,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
Nashville Predators,2014-15,Shea Weber,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
Nashville Predators,2015-16,Shea Weber,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
Nashville Predators,2016-17,Mike Fisher,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
Nashville Predators,2017-18,Roman Josi,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
Nashville Predators,2018-19,Roman Josi,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
Nashville Predators,2019-20,Roman Josi,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
Nashville Predators,2020-21,Roman Josi,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
Nashville Predators,2021-22,Roman Josi,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
Nashville Predators,2022-23,Roman Josi,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
Nashville Predators,2023-24,Roman Josi,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
Nashville Predators,2024-25,Roman Josi,https://en.wikipedia.org/wiki/List_of_Nashville_Predators_captains,FALSE
New Jersey Devils,2012-13,Andy Greene,https://en.wikipedia.org/wiki/List_of_New_Jersey_Devils_captains,FALSE
New Jersey Devils,2013-14,Andy Greene,https://en.wikipedia.org/wiki/List_of_New_Jersey_Devils_captains,FALSE
New Jersey Devils,2014-15,Andy Greene,https://en.wikipedia.org/wiki/List_of_New_Jersey_Devils_captains,FALSE
New Jersey Devils,2015-16,Andy Greene,https://en.wikipedia.org/wiki/List_of_New_Jersey_Devils_captains,FALSE
New Jersey Devils,2016-17,Andy Greene,https://en.wikipedia.org/wiki/List_of_New_Jersey_Devils_captains,FALSE
