player_name,position,signing_team,previous_team,contract_value,aav,contract_years,signing_year,signing_date,contract_type
Chad Ruhwedel,RD,Buffalo Sabres,Buffalo Sabres,1300000,650000,2,2014,2014-07-16,other
Chandler Stephenson,C,Washington Capitals,NA,2775000,925000,3,2014,2014-05-26,RFA
Charlie Coyle,C,Minnesota Wild,Minnesota Wild,16000000,3200000,5,2014,2014-10-23,UFA
Chris Driedger,G,Ottawa Senators,NA,2400000,800000,3,2014,2014-04-01,RFA
Chris Kreider,"LW, RW",New York Rangers,New York Rangers,4950000,2475000,2,2014,2014-07-23,other
Chris Tanev,RD,Vancouver Canucks,Vancouver Canucks,2000000,2000000,1,2014,2014-07-05,other
Connor Hellebuyck,G,Winnipeg Jets,NA,2775000,925000,3,2014,2014-05-26,other
Darcy Kuemper,G,Minnesota Wild,Minnesota Wild,2500000,1250000,2,2014,2014-09-20,other
David Pastrnak,RW,Boston Bruins,NA,2775000,925000,3,2014,2014-07-15,RFA
David Savard,"RD, LD",Columbus Blue Jackets,Columbus Blue Jackets,2600000,1300000,2,2014,2014-07-05,other
Dmitry Kulikov,"LD, RD",Florida Panthers,Florida Panthers,13000000,4333333,3,2014,2014-07-18,UFA
Dmitry Orlov,"LD, RD",Washington Capitals,Washington Capitals,4000000,2000000,2,2014,2014-03-13,other
Dustin Tokarski,G,Montreal Canadiens,Montréal Canadiens,1125000,562500,2,2014,2014-05-26,other
Erik Gudbranson,RD,Florida Panthers,Florida Panthers,5000000,2500000,2,2014,2014-07-10,other
Esa Lindell,"LD, RD",Dallas Stars,NA,2775000,925000,3,2014,2014-05-26,RFA
Gustav Olofsson,LD,Minnesota Wild,NA,2775000,925000,3,2014,2014-03-24,other
Haydn Fleury,"LD, RD",Carolina Hurricanes,NA,5325000,1775000,3,2014,2014-08-12,RFA
Ivan Barbashev,"LW, C",St. Louis Blues,NA,2775000,925000,3,2014,2014-07-23,RFA
Jaden Schwartz,"RW, LW, C",St. Louis Blues,St. Louis Blues,4700000,2350000,2,2014,2014-10-05,other
Jake McCabe,"LD, RD",Buffalo Sabres,Buffalo Sabres,2775000,925000,3,2014,2014-04-02,RFA
Jakub Vrana,LW,Washington Capitals,NA,4275000,1325000,3,2014,2014-07-15,RFA
James Reimer,G,Toronto Maple Leafs,Toronto Maple Leafs,4600000,2300000,2,2014,2014-07-26,UFA
Jared McCann,"LW, C",Vancouver Canucks,NA,3412500,1137500,3,2014,2014-07-26,RFA
Jason Dickinson,"C, RW",Dallas Stars,NA,2775000,925000,3,2014,2014-05-31,RFA
Jason Zucker,"LW, RW",Minnesota Wild,Minnesota Wild,1800500,900250,2,2014,2014-07-15,other
