contract_id,walk_year_position_group,walk_year_toi_per_game,walk_year_toi_total,walk_year_games,walk_year_goals,walk_year_assists,walk_year_points,walk_year_points_per_game,post_signing_seasons_observed,post_signing_avg_toi_per_game,post_signing_avg_points_per_game,contract_complete,post_signing_toi_change,post_signing_points_change,trajectory_prior_seasons_found,trajectory_toi_slope,trajectory_points_slope,trajectory,tier_toi_percentile,tier
1399,defense,16.12361,386.96664,24,1,4,5,0.20833333333333334,1,15.946295,0.19444444444444445,TRUE,-0.1773150000000001,-0.013888888888888895,2,-3.4898783333320074,-0.07662835249039236,declining,0.26104417670682734,fringe
1400,NA,NA,NA,NA,NA,NA,NA,NA,2,16.175111666666666,0.6719977553310887,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1401,forward,16.688413333333333,1368.4498933333334,82,20,41,61,0.7439024390243902,5,18.090445666666664,0.9222797881573587,FALSE,1.4020323333333309,0.17837734913296843,2,-0.32553333333320655,0.162177328843934,stable,0.7701543739279588,top
1402,forward,19.913616666666663,1632.9165666666663,82,40,58,98,1.1951219512195121,1,19.784523333333333,1.042857142857143,FALSE,-0.12909333333332995,-0.15226480836236922,2,0.2698499999999014,0.07332128876841595,stable,0.9376391982182628,top
1403,NA,NA,NA,NA,NA,NA,NA,NA,2,16.793551666666666,0.6541327913279134,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1404,forward,17.48617833333333,1433.866623333333,82,25,39,64,0.7804878048780488,6,16.326222777777776,0.7701377627891075,FALSE,-1.1599555555555554,-0.010350042088941303,1,NA,NA,insufficient_history,0.8372881355932204,top
1405,NA,NA,NA,NA,NA,NA,NA,NA,3,12.694114999999998,0.1654320987654321,TRUE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1406,forward,15.638955000000001,1298.033265,83,13,26,39,0.46987951807228917,1,15.40078,0.84375,FALSE,-0.2381750000000018,0.37387048192771083,3,0.9971875000002988,0.2000000000000583,rising,0.6879310344827586,top
1407,NA,NA,NA,NA,NA,NA,NA,NA,1,17.647153333333332,1.0365853658536586,TRUE,NA,NA,3,0.12653583333333185,0.12187500000005116,stable,NA,NA
1408,forward,17.647153333333332,1447.0665733333333,82,33,52,85,1.0365853658536586,3,18.057385555555555,0.8798681720832554,FALSE,0.41023222222222344,-0.15671719377040316,2,-0.2381750000000373,0.373870481927766,stable,0.8206686930091185,top
1409,NA,NA,NA,NA,NA,NA,NA,NA,1,11.108730000000001,0.2857142857142857,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1410,forward,14.040243333333331,1151.2999533333332,82,24,23,47,0.573170731707317,1,14.882366666666666,0.7536231884057971,FALSE,0.8421233333333351,0.1804524566984801,2,1.3898999999987425,0.08414872798426822,rising,0.5620689655172414,middle
1411,NA,NA,NA,NA,NA,NA,NA,NA,2,14.741666666666667,0.6853846153846154,FALSE,NA,NA,3,1.191868333333597,0.19188008735363027,rising,NA,NA
1412,NA,NA,NA,NA,NA,NA,NA,NA,1,10.228493333333335,0.3870967741935484,TRUE,NA,NA,2,-0.38333333333318376,-0.09076923076919616,declining,NA,NA
1413,NA,NA,NA,NA,NA,NA,NA,NA,1,10.228493333333335,0.3870967741935484,TRUE,NA,NA,2,-0.38333333333318376,-0.09076923076919616,declining,NA,NA
1414,NA,NA,NA,NA,NA,NA,NA,NA,3,17.51352611111111,0.5769308943089431,TRUE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
