player_id,player_name,name_key,name_key_ascii,first_name,last_name,first_name_key,last_name_key,name_key_first_last
8476819,Jeremy Welsh,jeremy welsh,jeremy welsh,Jeremy,Welsh,jeremy,welsh,jeremy welsh
8475753,Justin Faulk,justin faulk,justin faulk,Justin,Faulk,justin,faulk,justin faulk
8474729,Mike Murphy,mike murphy,mike murphy,Mike,Murphy,mike,murphy,mike murphy
8474062,Riley Nash,riley nash,riley nash,Riley,Nash,riley,nash,riley nash
8474057,Allen York,allen york,allen york,Allen,York,allen,york,allen york
8470838,Andrew Joudrey,andrew joudrey,andrew joudrey,Andrew,Joudrey,andrew,joudrey,andrew joudrey
8474715,Cam Atkinson,cam atkinson,cam atkinson,Cam,Atkinson,cam,atkinson,cam atkinson
8474597,Cody Goloubef,cody goloubef,cody goloubef,Cody,Goloubef,cody,goloubef,cody goloubef
8468166,Curtis Sanford,curtis sanford,curtis sanford,Curtis,Sanford,curtis,sanford,curtis sanford
8474774,Dalton Prout,dalton prout,dalton prout,Dalton,Prout,dalton,prout,dalton prout
8475233,David Savard,david savard,david savard,David,Savard,david,savard,david savard
8475793,Ryan Johansen,ryan johansen,ryan johansen,Ryan,Johansen,ryan,johansen,ryan johansen
8471868,Ryan Russell,ryan russell,ryan russell,Ryan,Russell,ryan,russell,ryan russell
8476803,Shawn Hunwick,shawn hunwick,shawn hunwick,Shawn,Hunwick,shawn,hunwick,shawn hunwick
8474049,Akim Aliu,akim aliu,akim aliu,Akim,Aliu,akim,aliu,akim aliu
8473921,Joe Piskula,joe piskula,joe piskula,Joe,Piskula,joe,piskula,joe piskula
8468499,Krys Kolanos,krys kolanos,krys kolanos,Krys,Kolanos,krys,kolanos,krys kolanos
8473414,Leland Irving,leland irving,leland irving,Leland,Irving,leland,irving,leland irving
8475264,Roman Horak,roman horak,roman horak,Roman,Horak,roman,horak,roman horak
8476466,Sven Baertschi,sven baertschi,sven baertschi,Sven,Baertschi,sven,baertschi,sven baertschi
8476381,Andrew Shaw,andrew shaw,andrew shaw,Andrew,Shaw,andrew,shaw,andrew shaw
8475650,Brandon Bollig,brandon bollig,brandon bollig,Brandon,Bollig,brandon,bollig,brandon bollig
8476438,Brandon Saad,brandon saad,brandon saad,Brandon,Saad,brandon,saad,brandon saad
8475153,Dylan Olsen,dylan olsen,dylan olsen,Dylan,Olsen,dylan,olsen,dylan olsen
8474625,Jimmy Hayes,jimmy hayes,jimmy hayes,Jimmy,Hayes,jimmy,hayes,jimmy hayes
8474089,Brad Malone,brad malone,brad malone,Brad,Malone,brad,malone,brad malone
8476455,Gabriel Landeskog,gabriel landeskog,gabriel landeskog,Gabriel,Landeskog,gabriel,landeskog,gabriel landeskog
8470152,Joakim Lindstrom,joakim lindstrom,joakim lindstrom,Joakim,Lindstrom,joakim,lindstrom,joakim lindstrom
8476225,Mike Connolly,mike connolly,mike connolly,Mike,Connolly,mike,connolly,mike connolly
