player_id,player_name,match_status,position,signing_team,signing_team_abbr,previous_team,previous_team_abbr,contract_value,aav,contract_years,signing_year,season_start,season,signing_date,contract_type
8480727,Zach Whitecloud,exact,RD,Vegas Golden Knights,VGK,Vegas Golden Knights,VGK,16500000,2750000,6,2021,2021,20212022,2021-10-28,UFA
8482742,Zachary L'Heureux,exact,LW,Nashville Predators,NSH,NA,NA,2775000,925000,3,2021,2021,20212022,2021-07-28,RFA
8477482,Zachary Sanford,exact,"C, LW",St. Louis Blues,STL,St. Louis Blues,STL,2000000,2000000,1,2021,2021,20212022,2021-08-04,UFA
8482737,Zack Bolduc,exact,"RW, LW, C",St. Louis Blues,STL,NA,NA,4012500,1337500,3,2021,2021,20212022,2021-08-24,RFA
NA,Zack Ostapchuk,unmatched,C,Ottawa Senators,OTT,NA,NA,2825000,925000,3,2021,2021,20212022,2021-09-29,RFA
8478421,A.J. Greer,exact,LW,Boston Bruins,BOS,New Jersey Devils,NJD,1525000,762500,2,2022,2022,20222023,2022-07-13,UFA
8480871,Adam Boqvist,exact,"RD, LD",Columbus Blue Jackets,CBJ,Columbus Blue Jackets,CBJ,7800000,2600000,3,2022,2022,20222023,2022-07-06,UFA
8481726,Adam Edstrom,exact,"RW, C",New York Rangers,NYR,NA,NA,2540000,846667,3,2022,2022,20222023,2022-05-07,other
8478874,Adam Gaudette,exact,RW,Toronto Maple Leafs,TOR,Chicago Blackhawks,CHI,750000,750000,1,2022,2022,20222023,2022-07-13,other
8480874,Adam Ginning,exact,"LD, RD",Philadelphia Flyers,PHI,NA,NA,1850000,925000,2,2022,2022,20222023,2022-05-17,other
NA,Adam Klapka,unmatched,RW,Calgary Flames,CGY,NA,NA,1665000,832500,2,2022,2022,20222023,2022-05-16,other
NA,Adam Sykora,unmatched,LW,New York Rangers,NYR,NA,NA,2850000,950000,3,2022,2022,20222023,2022-07-15,RFA
8482482,Adam Wilsby,exact,LD,Nashville Predators,NSH,NA,NA,1685000,842500,2,2022,2022,20222023,2022-04-13,other
8477960,Adrian Kempe,exact,"LW, RW",Los Angeles Kings,LAK,Los Angeles Kings,LAK,22000000,5500000,4,2022,2022,20222023,2022-07-08,UFA
NA,Aleksandr Kisakov,unmatched,LW,Buffalo Sabres,BUF,NA,NA,2775000,925000,3,2022,2022,20222023,2022-05-11,RFA
8475968,Alex Belzile,exact,RW,Montreal Canadiens,MTL,Montréal Canadiens,MTL,750000,750000,1,2022,2022,20222023,2022-07-13,UFA
NA,Alex Limoges,unmatched,C,Winnipeg Jets,WPG,NA,NA,780000,780000,1,2022,2022,20222023,2022-07-14,other
8481568,Alex Vlasic,exact,"LD, RD",Chicago Blackhawks,CHI,Chicago Blackhawks,CHI,4475000,1491667,3,2022,2022,20222023,2022-03-15,other
8479423,Alexander Nylander,first_name_variant,"LW, RW",Pittsburgh Penguins,PIT,Chicago Blackhawks,CHI,750000,750000,1,2022,2022,20222023,2022-07-11,other
NA,Alexander Pashin,unmatched,RW,Carolina Hurricanes,CAR,NA,NA,2480000,826667,3,2022,2022,20222023,2022-05-02,other
8475755,Alexander Petrovic,exact,RD,Dallas Stars,DAL,Florida Panthers,FLA,750000,750000,1,2022,2022,20222023,2022-06-07,UFA
8481014,Alexander Romanov,exact,LD,New York Islanders,NYI,Montréal Canadiens,MTL,7500000,2500000,3,2022,2022,20222023,2022-08-22,other
NA,Alexander Suzdalev,unmatched,LW,Washington Capitals,WSH,NA,NA,2850000,950000,3,2022,2022,20222023,2022-07-15,RFA
8480281,Alexey Toropchenko,exact,"RW, LW",St. Louis Blues,STL,St. Louis Blues,STL,750000,750000,1,2022,2022,20222023,2022-02-09,other
NA,Amadeus Lombardi,unmatched,C,Detroit Red Wings,DET,NA,NA,2875000,950000,3,2022,2022,20222023,2022-12-23,RFA
8477444,Andre Burakovsky,exact,"LW, RW",Seattle Kraken,SEA,Colorado Avalanche,COL,27500000,5500000,5,2022,2022,20222023,2022-07-13,UFA
NA,Andre Lee,unmatched,LW,Los Angeles Kings,LAK,NA,NA,1850000,925000,2,2022,2022,20222023,2022-03-29,other
8476960,Andreas Athanasiou,exact,"C, RW",Chicago Blackhawks,CHI,Los Angeles Kings,LAK,3000000,3000000,1,2022,2022,20222023,2022-07-13,UFA
8477971,Andreas Englund,exact,LD,Colorado Avalanche,COL,Ottawa Senators,OTT,750000,750000,1,2022,2022,20222023,2022-07-13,UFA
8483808,Andrei Kuzmenko,exact,"LW, RW",Vancouver Canucks,VAN,NA,NA,1800000,1800000,1,2022,2022,20222023,2022-07-13,UFA
8475461,Andrew Agozzino,exact,LW,San Jose Sharks,SJS,Ottawa Senators,OTT,1550000,775000,2,2022,2022,20222023,2022-07-14,UFA
8477429,Andrew Copp,exact,"C, RW",Detroit Red Wings,DET,Winnipeg Jets,WPG,28125000,5625000,5,2022,2022,20222023,2022-07-13,UFA
8478233,Andrew Mangiapane,exact,LW,Calgary Flames,CGY,Calgary Flames,CGY,17400000,5800000,3,2022,2022,20222023,2022-08-02,UFA
8479369,Andrew Peeke,exact,"RD, LD",Columbus Blue Jackets,CBJ,Columbus Blue Jackets,CBJ,8250000,2750000,3,2022,2022,20222023,2022-09-28,UFA
