player_id,canonical_name,all_name_variants,normalized_keys,normalized_ascii_keys
8477953,Kasperi Kapanen,Kasperi Kapanen,kasperi kapanen,kasperi kapanen
8477955,Jared McCann,Jared McCann,jared mccann,jared mccann
8477956,David Pastrnak,David Pastrnak,david pastrnak,david pastrnak
8477957,Nikita Scherbak,Nikita Scherbak,nikita scherbak,nikita scherbak
8477958,Nikolay Goldobin,Nikolay Goldobin,nikolay goldobin,nikolay goldobin
8477959,Joshua Ho-Sang,Joshua Ho-Sang,joshua ho-sang,joshua ho-sang
8477960,Adrian Kempe,Adrian Kempe,adrian kempe,adrian kempe
8477961,John Quenneville,John Quenneville,john quenneville,john quenneville
8477962,Brendan Lemieux,Brendan Lemieux,brendan lemieux,brendan lemieux
8477963,Jayce Hawryluk,Jayce Hawryluk,jayce hawryluk,jayce hawryluk
8477964,Ivan Barbashev,Ivan Barbashev,ivan barbashev,ivan barbashev
8477967,Thatcher Demko,Thatcher Demko,thatcher demko,thatcher demko
